Date_Time (LST/LDT), Event, Speed (knots)
4/16/17 0:00, ebb,-1.8
4/16/17 3:28, slack,-
4/16/17 4:51, flood,0.7
4/16/17 7:07, slack,-
4/16/17 11:30, ebb,-2.6
4/16/17 15:04, slack,-
4/16/17 17:45, flood,2.5
4/16/17 21:43, slack,-
4/17/17 0:48, ebb,-1.6
4/17/17 4:40, slack,-
4/17/17 5:33, flood,0.3
4/17/17 7:31, slack,-
4/17/17 12:12, ebb,-2.4
4/17/17 15:52, slack,-
4/17/17 18:33, flood,2.3
4/17/17 22:37, slack,-
4/18/17 1:48, ebb,-1.6
4/18/17 6:16, slack,-
4/18/17 7:49, slack,-
4/18/17 13:06, ebb,-2.2
4/18/17 16:46, slack,-
4/18/17 19:33, flood,2.2
4/18/17 23:31, slack,-
4/19/17 2:54, ebb,-1.6
4/19/17 14:12, ebb,-2
4/19/17 17:46, slack,-
4/19/17 20:33, flood,2.2
4/20/17 0:25, slack,-
4/20/17 3:54, ebb,-1.8
4/20/17 8:22, slack,-
4/20/17 8:57, flood,0.2
4/20/17 10:37, slack,-
4/20/17 15:24, ebb,-2
4/20/17 18:46, slack,-
4/20/17 21:27, flood,2.2
4/21/17 1:19, slack,-
4/21/17 4:48, ebb,-2
4/21/17 8:46, slack,-
