Date_Time (LST/LDT), Event, Speed (knots)
2/11/17 23:20, slack,-
2/12/17 3:17, flood,0.8
2/12/17 6:53, slack,-
2/12/17 9:19, ebb,-0.3
2/12/17 12:20, slack,-
2/12/17 15:29, flood,0.4
2/12/17 18:11, slack,-
2/12/17 21:01, ebb,-0.3
2/13/17 0:02, slack,-
2/13/17 3:53, flood,0.7
2/13/17 7:23, slack,-
2/13/17 9:49, ebb,-0.3
2/13/17 13:02, slack,-
2/13/17 16:17, flood,0.4
2/13/17 19:05, slack,-
2/13/17 21:37, ebb,-0.3
2/14/17 0:38, slack,-
2/14/17 4:35, flood,0.7
2/14/17 7:59, slack,-
2/14/17 10:25, ebb,-0.3
2/14/17 13:50, slack,-
2/14/17 17:05, flood,0.4
2/14/17 19:53, slack,-
2/14/17 22:25, ebb,-0.2
2/15/17 1:20, slack,-
2/15/17 5:11, flood,0.6
2/15/17 8:29, slack,-
2/15/17 11:07, ebb,-0.3
2/15/17 14:32, slack,-
2/15/17 17:47, flood,0.4
2/15/17 20:53, slack,-
2/15/17 23:13, ebb,-0.2
2/16/17 2:08, slack,-
2/16/17 5:53, flood,0.5
2/16/17 8:59, slack,-
2/16/17 11:49, ebb,-0.2
2/16/17 15:20, slack,-
2/16/17 18:35, flood,0.4
2/16/17 22:05, slack,-
2/17/17 0:13, ebb,-0.1
2/17/17 3:02, slack,-
2/17/17 6:35, flood,0.4
2/17/17 9:35, slack,-
2/17/17 12:43, ebb,-0.2
2/17/17 16:08, slack,-
2/17/17 19:35, flood,0.4
2/17/17 23:29, slack,-
2/18/17 1:25, ebb,-0.1
2/18/17 4:08, slack,-
2/18/17 7:23, flood,0.3
2/18/17 10:17, slack,-
2/18/17 13:37, ebb,-0.2
2/18/17 17:02, slack,-
2/18/17 20:41, flood,0.4
2/19/17 0:47, slack,-
2/19/17 2:43, ebb,-0.1
2/19/17 5:26, slack,-
2/19/17 8:23, flood,0.2
2/19/17 11:11, slack,-
2/19/17 14:31, ebb,-0.2
2/19/17 17:56, slack,-
2/19/17 21:59, flood,0.4
2/20/17 1:47, slack,-
2/20/17 3:55, ebb,-0.1
2/20/17 6:44, slack,-
2/20/17 9:41, flood,0.2
2/20/17 12:11, slack,-
2/20/17 15:25, ebb,-0.2
2/20/17 18:50, slack,-
2/20/17 22:59, flood,0.5
2/21/17 2:41, slack,-
2/21/17 5:01, ebb,-0.1
2/21/17 7:50, slack,-
2/21/17 10:41, flood,0.2
2/21/17 13:05, slack,-
2/21/17 16:19, ebb,-0.3
2/21/17 19:38, slack,-
2/21/17 23:41, flood,0.6
2/22/17 3:23, slack,-
2/22/17 5:55, ebb,-0.2
2/22/17 8:44, slack,-
2/22/17 11:35, flood,0.3
2/22/17 13:53, slack,-
2/22/17 17:07, ebb,-0.3
2/22/17 20:20, slack,-
2/23/17 0:23, flood,0.7
2/23/17 4:05, slack,-
2/23/17 6:31, ebb,-0.2
2/23/17 9:26, slack,-
2/23/17 12:17, flood,0.3
2/23/17 14:41, slack,-
2/23/17 17:49, ebb,-0.3
2/23/17 21:02, slack,-
2/24/17 0:53, flood,0.7
2/24/17 4:41, slack,-
2/24/17 7:07, ebb,-0.2
2/24/17 10:02, slack,-
2/24/17 12:59, flood,0.4
2/24/17 15:29, slack,-
2/24/17 18:37, ebb,-0.3
2/24/17 21:38, slack,-
2/25/17 1:29, flood,0.8
2/25/17 5:11, slack,-
2/25/17 7:37, ebb,-0.3
2/25/17 10:32, slack,-
2/25/17 13:35, flood,0.4
2/25/17 16:17, slack,-
2/25/17 19:19, ebb,-0.3
2/25/17 22:20, slack,-
2/26/17 2:11, flood,0.8
2/26/17 5:47, slack,-
2/26/17 8:07, ebb,-0.3
2/26/17 11:08, slack,-
2/26/17 14:23, flood,0.5
2/26/17 17:05, slack,-
2/26/17 19:55, ebb,-0.4
2/26/17 22:56, slack,-
2/27/17 2:47, flood,0.8
2/27/17 6:17, slack,-
2/27/17 8:43, ebb,-0.3
2/27/17 11:44, slack,-
2/27/17 15:05, flood,0.5
2/27/17 17:53, slack,-
2/27/17 20:37, ebb,-0.3
2/27/17 23:38, slack,-
2/28/17 3:29, flood,0.8
